name,type,CP,adresse,latitude,longitude,telephone,prix,specialite1,specialite2,specialite3
Echizen Soba Togo,Restaurant,75001,"33, rue Saint-Roch",48.8659805,2.332610299999942,+33 1 73 71 69 23,De 16 à 35 €,Asiatique,Japonais,
Salatim,Restaurant,75002,"15, rue des Jeûneurs",48.8690915,2.3459585000000516,+33 1 42 36 30 03,De 16 à 35 €,Lèche-doigts,,
Au Bon Pho,Restaurant,75003,"22, rue au Maire",48.8647367,2.356092600000011,+33 1 42 72 88 32,Moins de 15 €,Asiatique,Laotien,Thaïlandais
Foodi Jia-Ba-Buay ,Restaurant,75002,"2, rue du Nil",48.8679066,2.3482688999999937,+33 1 45 08 48 28,De 16 à 35 €,Asiatique,Taïwanais,
Sagan,Restaurant,75006,"8, rue Casimir-Delavigne",48.8504247,2.339177800000016,+33 6 69 37 82 19 ,De 36 à 50 €,Japonais,,
The Cod House,Restaurant,75006,"1, rue de Condé",48.8515877,2.3385001999999986,+33 1 42 49 35 59,De 36 à 50 €,Asiatique,Japonais,
Les Enfants Rouges,Restaurant,75003,"9, rue de Beauce",48.8628812,2.3611051999999972,+33 1 48 87 80 61,De 36 à 50 €,Néobistrot,Bar à vins / Cave à manger,
Chez Taeko,Restaurant,75003,39 Rue de Bretagne,48.862755,2.3620003999999426,+33 1 48 04 34 59,Moins de 15 €,Japonais,,
L’Avant-Comptoir de la Mer,Restaurant,75006,"3, carrefour de l’Odéon",48.8520358,2.3388124000000516,+33 1 42 38 47 55,De 16 à 35 €,Sud-Ouest,Terroir,Poissons et fruits de mer
Honor Café,Restaurant,75008,"54, rue du Faubourg-Saint-Honoré",48.8695885,2.3196957999999768,+33 7 82 52 93 63,Moins de 15 €,Café / Coffee Shop,Salon de thé / Pâtisserie,Snack / Tartes / Salades / Soupes / Bols
L'Innocence,Restaurant,75009,"28, rue de La Tour d'Auvergne",48.8793387,2.3433571000000484,+33 1 45 23 99 13,De 36 à 50 €,Cuisine d'auteur,Néobistrot,
Mamiche,Restaurant,75009,"45, rue Condorcet",48.8800657,2.3435071000000107,+33 1 53 21 03 68  ,Moins de 15 €,Casse-croûte,Sandwichs / Bagels,Lèche-doigts
